name	hier	id
Arts & Entertainment	\Arts & Entertainment	4d4b7104d754a06370d81259
Amphitheater	\Arts & Entertainment\Amphitheater	56aa371be4b08b9a8d5734db
Aquarium	\Arts & Entertainment\Aquarium	4fceea171983d5d06c3e9823
Arcade	\Arts & Entertainment\Arcade	4bf58dd8d48988d1e1931735
Art Gallery	\Arts & Entertainment\Art Gallery	4bf58dd8d48988d1e2931735
Bowling Alley	\Arts & Entertainment\Bowling Alley	4bf58dd8d48988d1e4931735
Casino	\Arts & Entertainment\Casino	4bf58dd8d48988d17c941735
Circus	\Arts & Entertainment\Circus	52e81612bcbc57f1066b79e7
Comedy Club	\Arts & Entertainment\Comedy Club	4bf58dd8d48988d18e941735
Concert Hall	\Arts & Entertainment\Concert Hall	5032792091d4c4b30a586d5c
Country Dance Club	\Arts & Entertainment\Country Dance Club	52e81612bcbc57f1066b79ef
Disc Golf	\Arts & Entertainment\Disc Golf	52e81612bcbc57f1066b79e8
Exhibit	\Arts & Entertainment\Exhibit	56aa371be4b08b9a8d573532
General Entertainment	\Arts & Entertainment\General Entertainment	4bf58dd8d48988d1f1931735
Go Kart Track	\Arts & Entertainment\Go Kart Track	52e81612bcbc57f1066b79ea
Historic Site	\Arts & Entertainment\Historic Site	4deefb944765f83613cdba6e
Karaoke Box	\Arts & Entertainment\Karaoke Box	5744ccdfe4b0c0459246b4bb
Laser Tag	\Arts & Entertainment\Laser Tag	52e81612bcbc57f1066b79e6
Memorial Site	\Arts & Entertainment\Memorial Site	5642206c498e4bfca532186c
Mini Golf	\Arts & Entertainment\Mini Golf	52e81612bcbc57f1066b79eb
Movie Theater	\Arts & Entertainment\Movie Theater	4bf58dd8d48988d17f941735
Drive-in Theater	\Arts & Entertainment\Movie Theater\Drive-in Theater	56aa371be4b08b9a8d5734de
Indie Movie Theater	\Arts & Entertainment\Movie Theater\Indie Movie Theater	4bf58dd8d48988d17e941735
Multiplex	\Arts & Entertainment\Movie Theater\Multiplex	4bf58dd8d48988d180941735
Museum	\Arts & Entertainment\Museum	4bf58dd8d48988d181941735
Art Museum	\Arts & Entertainment\Museum\Art Museum	4bf58dd8d48988d18f941735
Erotic Museum	\Arts & Entertainment\Museum\Erotic Museum	559acbe0498e472f1a53fa23
History Museum	\Arts & Entertainment\Museum\History Museum	4bf58dd8d48988d190941735
Planetarium	\Arts & Entertainment\Museum\Planetarium	4bf58dd8d48988d192941735
Science Museum	\Arts & Entertainment\Museum\Science Museum	4bf58dd8d48988d191941735
Music Venue	\Arts & Entertainment\Music Venue	4bf58dd8d48988d1e5931735
Jazz Club	\Arts & Entertainment\Music Venue\Jazz Club	4bf58dd8d48988d1e7931735
Piano Bar	\Arts & Entertainment\Music Venue\Piano Bar	4bf58dd8d48988d1e8931735
Rock Club	\Arts & Entertainment\Music Venue\Rock Club	4bf58dd8d48988d1e9931735
