clid	venue	lon	lat	cat	user	checkin
0	Pittsburgh Toynbee Tile	-79.9961	40.4382	NA	1	1
0	Strassburger	-80.0041	40.4406	NA	1	1
0	Three Rivers Arts Festival	-80.0019	40.4381	NA	15	16
0	City of Pittsburgh	-79.9978	40.4385	NA	1	1
0	Koppers Tower	-79.9953	40.4421	NA	3	3
0	U.S. Bankruptcy Court	-79.9952	40.4414	NA	1	1
0	Point Park University	-80.0019	40.4385	NA	2	2
0	The Commoner	-79.9965	40.4415	NA	2	2
0	Three Gateway Center	-80.0053	40.4417	NA	1	1
0	Port Authority Gateway Station	-80.0044	40.4415	NA	2	3
0	Subway	-80.0027	40.4425	NA	1	1
0	Starbucks	-80.0020	40.4427	NA	11	11
0	American Farriers Journal Booth	-79.9949	40.4442	NA	1	6
0	Three Rivers' Bar	-80.0063	40.4416	NA	1	1
0	Nine on Nine	-79.9982	40.4439	NA	1	1
0	United states post office	-80.0047	40.4434	NA	1	1
0	Gay & Lesbian Community Center of Pittsburgh	-79.9985	40.4375	NA	1	1
0	SEI	-79.9970	40.4399	NA	1	1
0	Bricolage	-79.9965	40.4431	NA	2	2
0	Sushi Kim	-79.9915	40.4463	NA	1	1
0	Kwik-E-Mart	-79.9955	40.4440	NA	2	2
0	Downtown Pittsburgh	-79.9971	40.4415	NA	3	10
0	2014	-79.9957	40.4444	NA	11	11
0	Convention Center Riverfront Plaza	-79.9966	40.4465	NA	3	4
0	S. W. Randall Toyes & Giftes	-79.9970	40.4421	NA	1	1
0	Eddie Merlot's	-80.0043	40.4413	NA	1	1
0	BRGR Truck	-79.9974	40.4388	NA	1	1
0	David L. Lawrence Convention Center	-79.9968	40.4455	NA	1	1
0	Dick's Sporting Goods Pittsburgh Marathon Finish Line	-80.0050	40.4396	NA	1	1
0	4Moms	-79.9981	40.4449	NA	1	1
0	Seventh St Bridge	-80.0011	40.4449	NA	1	2
0	Four Gateway Center	-80.0044	40.4408	NA	1	1
0	KQV Radio	-79.9968	40.4427	NA	1	1
0	Point State Park	-80.0079	40.4416	NA	51	57
0	The Grant Street Tavern	-79.9979	40.4376	NA	1	1
0	The Exchange	-79.9955	40.4434	NA	1	1
0	Animal	-80.0038	40.4381	NA	1	1
0	Century Building Apartments roof	-80.0007	40.4435	NA	1	1
0	Sienna Sulla Piazza	-80.0027	40.4411	NA	9	9
0	Heinz History Center	-79.9928	40.4463	NA	1	1
0	BNY Mellon 3	-79.9972	40.4401	NA	2	3
0	Bill's Bar & Burger	-79.9950	40.4439	NA	5	5
0	Zorba's	-79.9995	40.4388	NA	1	1
0	Deloitte LLP	-80.0037	40.4399	NA	1	3
0	Mellon Green	-79.9956	40.4402	NA	1	1
0	Eddie Merlot's	-80.0042	40.4412	NA	1	1
0	Starbucks	-79.9973	40.4408	NA	8	12
0	Cultural District	-80.0004	40.4432	NA	6	6
0	Little E's	-79.9962	40.4432	NA	2	2
0	Bluebird Kitchen	-80.0018	40.4404	NA	1	1
0	Fort Pitt Museum	-80.0094	40.4411	NA	5	5
0	Point Park University	-80.0019	40.4387	NA	1	1
0	Westin Workout	-79.9948	40.4439	NA	1	1
0	Dr. Mary Vogel	-80.0068	40.4421	NA	1	1
0	Butcher and the Rye	-80.0020	40.4423	NA	19	19
0	A to Z Communications	-79.9953	40.4442	NA	1	6
0	Mellon Garage	-79.9978	40.4409	NA	1	1
0	PNC Triangle Park	-80.0019	40.4418	NA	1	2
0	Stone Neapolitan Pizzeria	-80.0061	40.4414	NA	2	2
0	The Pittsburgh Foundation	-80.0034	40.4394	NA	1	1
0	Port Authority Steel Plaza Station	-79.9952	40.4401	NA	2	2
0	Wood Street Bus Stop	-79.9999	40.4417	NA	2	2
0	Anthrocon 2015	-79.9955	40.4441	NA	11	15
0	Sinful Sweets 901 Penn	-79.9984	40.4437	NA	2	2
0	Allegheny County Courthouse	-79.9967	40.4387	NA	4	4
0	Market Street Grocery	-80.0023	40.4412	NA	1	1
0	Simple Ingredients	-79.9986	40.4427	NA	1	1
0	The Randy Pausch Memorial Bridge	-79.9965	40.4432	NA	5	8
0	CVS Pharmacy	-79.9991	40.4425	NA	2	2
0	Fort Duquesne Bridge	-80.0096	40.4416	NA	3	4
0	Anthrocon 2015	-79.9957	40.4445	NA	3	8
0	United Steelworkers Building	-80.0047	40.4396	NA	1	2
0	Gateway Center	-80.0050	40.4421	NA	2	2
0	Pittsburgh Allegheny	-79.9950	40.4442	NA	2	2
0	Toonseum	-79.9963	40.4433	NA	1	1
0	Mellon Square Parking Garage	-79.9963	40.4420	NA	1	2
0	Northside Urban Pathways Charter School	-79.9973	40.4443	NA	1	8
0	First Presbyterian Church of Pittsburgh	-79.9990	40.4415	NA	3	3
0	Eide's Entertainment	-79.9931	40.4453	NA	4	4
0	Downtown Pgh	-79.9976	40.4415	NA	2	3
0	Hundred Wood	-80.0022	40.4378	NA	1	1
0	Grand Circuit Booth	-79.9949	40.4442	NA	1	3
0	Pop-Up Canada!	-79.9969	40.4414	NA	1	1
0	PNC Firstside Center	-79.9976	40.4359	NA	2	3
0	O'Reilly Theater Square Parking Garage in Downtown Pittsburgh	-80.0009	40.4432	NA	3	3
0	Szmidt's Old World Deli	-79.9920	40.4489	NA	1	1
0	pittsburgh pride prade	-79.9980	40.4386	NA	1	1
0	AT&T	-79.9963	40.4402	NA	1	2
0	Pittsburgh Arts Festival	-80.0075	40.4417	NA	2	2
0	DiBella's Old Fashioned Submarines	-80.0020	40.4406	NA	3	3
0	Highmark Penn Avenue Place	-80.0032	40.4421	NA	1	1
0	Tessitura Office	-79.9985	40.4428	NA	1	1
0	709 Penn Gallery	-79.9997	40.4434	NA	1	1
0	Greyhound Station Parking Garage	-79.9916	40.4456	NA	1	3
0	Bea Taco Town	-79.9969	40.4424	NA	1	1
0	Theater Square	-80.0006	40.4431	NA	1	3
0	Harris Theater	-79.9985	40.4426	NA	2	2
0	David L. Lawrence Convention Center Water Pathway	-79.9956	40.4444	NA	1	1
0	Penn Station	-79.9922	40.4444	NA	1	1
0	Villa Reale	-79.9971	40.4418	NA	1	1
0	Liberty Avenue Musicians	-79.9965	40.4439	NA	1	2
0	Winghart's Burger & Whiskey Bar	-80.0024	40.4402	NA	11	11
