clid	venue	lon	lat	cat	user	checkin
0	Alihan's Mediterranean Cuisine	-80.0025	40.4431	Food	4	5
0	Il Tetto	-79.9963	40.4442	Nightlife Spot	9	9
0	Penn Commons	-80.0028	40.4426	Residence	1	1
0	709 Penn Gallery	-79.9998	40.4434	Arts & Entertainment	1	1
0	Peppi's	-80.0006	40.4371	Food	1	1
0	Animal	-80.0038	40.4381	Professional & Other Places	1	1
0	Tonic Bar And Grill	-79.9951	40.4437	Nightlife Spot	23	26
0	Villa	-80.0003	40.4402	Shop & Service	1	1
0	Mitchell's Restaurant	-79.9971	40.4375	Food	1	1
0	4Moms	-79.9981	40.4449	Professional & Other Places	1	1
0	Flag Plaza and Pittsburgh Scout Center	-79.9905	40.4433	Professional & Other Places	3	3
0	One Oxford Centre	-79.9988	40.4381	Professional & Other Places	1	1
0	Farmer's Market Square	-80.0026	40.4407	Outdoors & Recreation	53	75
0	Salonika Gyros	-80.0023	40.4431	Food	1	1
0	The Terrace Room	-79.9972	40.4410	Food	1	1
0	The Apollo Cafe Fifth Ave	-79.9980	40.4390	Food	3	3
0	DiBella's Old Fashioned Submarines	-80.0020	40.4406	Food	3	3
0	Au Bon Pain	-80.0003	40.4422	Food	3	8
0	Toonseum	-79.9963	40.4433	Arts & Entertainment	1	2
0	Crystal Restaurant	-79.9920	40.4460	Food	1	1
0	Sienna Sulla Piazza	-80.0026	40.4411	Food	9	9
0	NOLA on the Square	-80.0028	40.4410	Food	13	14
0	PPG Place Plaza and Water Feature	-80.0032	40.4398	Outdoors & Recreation	5	5
0	Amtrak Station	-79.9919	40.4448	Travel & Transport	2	9
0	Bruegger's Bagel Bakery	-79.9959	40.4402	Food	4	4
0	Mamma Lucia Pizza	-80.0005	40.4403	Food	1	1
0	iNetworks	-79.9975	40.4392	Professional & Other Places	1	1
0	Pittsburgh Toynbee Tile	-79.9961	40.4382	Outdoors & Recreation	1	1
0	Bus Stop At Stanwix & 4th Ave	-80.0045	40.4403	Travel & Transport	1	1
0	CVS Pharmacy	-80.0013	40.4406	Shop & Service	4	4
0	Macy's	-79.9983	40.4395	Shop & Service	1	1
0	grit & grace	-80.0022	40.4416	Food	10	13
0	Villa Reale	-79.9968	40.4419	Food	1	1
0	Tessitura Office	-79.9985	40.4428	Professional & Other Places	1	1
0	Senator John Heinz History Center	-79.9921	40.4468	Arts & Entertainment	22	23
0	Au Bon Pain	-80.0030	40.4416	Food	2	2
0	V3 Flatbread Pizza	-80.0029	40.4422	Food	1	1
0	Pop-Up Canada!	-79.9969	40.4414	Travel & Transport	1	1
0	Three Rivers' Bar	-80.0063	40.4416	Nightlife Spot	1	1
0	Smithfield United Church Of Christ	-79.9972	40.4418	Professional & Other Places	1	1
0	U.S. Steel Tower	-79.9953	40.4406	Arts & Entertainment	1	1
0	Harris Theater	-79.9985	40.4426	Arts & Entertainment	2	2
0	Tavern 245	-80.0016	40.4396	Food	1	1
0	Indian Spices LLC	-80.0024	40.4433	Food	2	2
0	Nikki's Thai Downtown	-79.9984	40.4437	Food	1	1
0	Eddie Merlot's	-80.0043	40.4413	Food	1	2
0	Fifth Avenue Place	-80.0035	40.4419	Shop & Service	4	4
0	Nicholas Coffee & Tea Company	-80.0029	40.4411	Food	4	8
0	Dr. Mary Vogel	-80.0068	40.4421	Professional & Other Places	1	1
0	Subway	-80.0027	40.4425	Food	1	1
