clid	venue	lon	lat
0	City of Pittsburgh	-79.9924	40.4470
0	Penn Ave	-79.9961	40.4455
0	S Q U A D	-80.0032	40.4442
0	Anthrocon 2015	-79.9953	40.4443
0	2014	-79.9958	40.4446
0	Dick's Sporting Goods Pittsburgh Marathon Finish Line	-80.0050	40.4396
0	Franktuary	-79.9990	40.4411
0	Orphans court	-79.9976	40.4389
0	Anthrocon 2015	-79.9954	40.4444
0	Pittsburgh Winter Beerfest	-79.9970	40.4453
0	Pittsburgh	-79.9951	40.4454
0	The	-80.0003	40.4405
0	still looking 4 the zaddys	-80.0013	40.4386
0	Federated Investors	-79.9948	40.4443
0	Downtown Pittsburgh Jazzlive Festival	-79.9985	40.4433
0	Arts Festival	-80.0063	40.4422
0	Anthrocon 2015	-79.9957	40.4445
0	Downtown Pittsburgh	-79.9992	40.4419
0	Point State Park	-80.0090	40.4417
0	Downtown Pittsburgh PA On 376 W	-79.9986	40.4368
0	Downtown Pittsburgh EMS Medic 5	-79.9976	40.4410
0	2014	-79.9965	40.4454
0	Pittsburgh	-79.9982	40.4469
0	Federated Investors	-79.9937	40.4451
0	Courtyard By Marriot Valet Parking Lot	-79.9956	40.4444
0	2014	-79.9957	40.4445
0	2014	-79.9964	40.4455
0	Dick's Sporting Goods Pittsburgh Marathon	-80.0022	40.4418
0	Mon Wharf	-80.0043	40.4375
0	Point State Park	-80.0079	40.4416
0	United Steelworkers Building	-80.0047	40.4396
0	picklesburgh	-79.9990	40.4464
0	Three River's Arts Festival	-80.0055	40.4416
0	Sienna Mercato	-79.9983	40.4439
0	Maury's Pad	-80.0032	40.4396
0	City of Pittsburgh	-79.9978	40.4385
0	Dick's Sporting Goods Pittsburgh Marathon	-80.0019	40.4419
0	Buchanan Ingersoll	-79.9990	40.4377
0	Point State Park	-80.0070	40.4411
0	Home And Garden Show	-79.9970	40.4456
0	Print & Ship Center	-79.9967	40.4440
0	Point State Park	-80.0069	40.4414
0	Dick's Sporting Goods Pittsburgh Marathon	-80.0023	40.4417
0	2014	-79.9959	40.4451
0	Dequesne Club	-79.9989	40.4426
0	Penn & 6th	-80.0014	40.4430
0	on a roof somewhere	-80.0013	40.4434
0	2014	-79.9955	40.4443
0	Fort Duquesne Bridge	-80.0096	40.4416
0	Cultural District	-79.9987	40.4435
0	Penn Station	-79.9922	40.4439
0	Farm to Table 2014	-79.9959	40.4452
0	2014	-79.9958	40.4450
0	David L. Lawrence Convention Center	-79.9972	40.4456
0	Downtown	-80.0024	40.4412
0	Maury's Pad	-80.0024	40.4408
0	Downtown Pittsburgh	-79.9992	40.4427
0	Studio 41 Entertainment	-80.0026	40.4412
0	Highmark Penn Avenue Place	-80.0032	40.4421
0	O'Reilly Theater Square Parking Garage in Downtown Pittsburgh	-80.0009	40.4432
0	Mary kay career conference	-79.9957	40.4453
0	Monongahela River	-80.0010	40.4360
0	The Yard Market Square	-80.0027	40.4413
0	The Point State Park	-80.0070	40.4412
0	Heinz History Center	-79.9928	40.4463
0	BRGR Truck	-79.9974	40.4388
0	Amtrak: Pittsburgh Winter Beerfest	-79.9916	40.4458
0	2014	-79.9953	40.4441
0	Joe's Shoe Repair	-80.0027	40.4398
0	Point State Park	-80.0074	40.4394
0	Szmidt's Old World Deli	-79.9920	40.4489
0	University of Pittsburgh JazzLive International	-79.9951	40.4438
0	American Farriers Journal Booth	-79.9949	40.4442
0	Allegheny Conference on Community Development and Affiliates	-80.0060	40.4396
0	Keystone Cafe	-79.9983	40.4414
0	The Randy Pausch Memorial Bridge	-79.9965	40.4432
0	pittsburgh	-79.9975	40.4454
0	Dawntawn Pixburgh	-80.0016	40.4392
0	David L. Lawrence Convention Center	-79.9969	40.4457
0	Pittsburgh Filmmakers	-79.9966	40.4439
0	Pittsburgh City-County Building	-79.9969	40.4381
0	At the corner of bad&bitches	-80.0013	40.4386
0	Downtown Pittsburgh	-79.9993	40.4420
0	Station Square Tunnel	-80.0060	40.4389
0	Three Rivers Arts Festival: Second Stage at Gateway Center	-80.0045	40.4423
0	Liberty Ave.	-79.9967	40.4431
0	The Original Fish Market	-79.9946	40.4443
0	ODAR	-79.9934	40.4460
0	tk	-80.0022	40.4424
0	pittsburgh pride prade	-79.9980	40.4386
0	Penn Station	-79.9921	40.4441
0	Yuriy's Downtown	-79.9969	40.4425
0	Cindrich Villa In The Sky	-80.0032	40.4396
0	Heinz Hall for the Performing Arts	-80.0016	40.4427
0	Lush	-79.9986	40.4396
0	Golden Triangle	-80.0004	40.4416
0	Gay Pride Parade Route	-80.0017	40.4416
0	Pittsburgh Central Downtown Historic District	-79.9967	40.4414
0	The Rink at PPG Place	-80.0034	40.4397
0	Three Rivers art Festival	-80.0034	40.4416
0	August Wilson Center for African American Culture	-79.9957	40.4433
0	Au Bon Pain	-79.9955	40.4426
0	2014	-79.9957	40.4444
0	Downtown Pittsburgh	-79.9994	40.4421
0	Century Building Apartments roof	-80.0007	40.4435
0	Point State Park	-80.0069	40.4413
0	Downtown Pittsburgh Children's Festival	-79.9990	40.4428
0	GNC LiveWell Pittsburgh Health and Fitness Expo	-79.9970	40.4455
0	Anthrocon 2015	-79.9955	40.4441
0	Starbucks	-79.9949	40.4414
0	Mon Wharf	-80.0051	40.4381
0	GDI	-79.9948	40.4419
0	ACES 2015 National Conference	-80.0060	40.4406
0	Thai Hana 500 Liberty Avenue	-80.0074	40.4432
0	Pittsburgh Allegheny	-79.9971	40.4436
0	2014	-79.9958	40.4448
0	Eddie Merlots	-80.0036	40.4412
0	Da Burgh	-80.0050	40.4429
0	Anthrocon 2015	-79.9956	40.4447
0	Dead Baby Circle	-79.9958	40.4431
0	PPG Place-The Rink	-80.0033	40.4398
0	Handmade Arcade	-79.9972	40.4454
0	City of Pittsburgh	-79.9932	40.4447
0	Tony's Disco Stick HideOut	-79.9920	40.4487
0	Downtown Pittsburgh Vintage Grand Prix	-79.9956	40.4383
0	Dahntahn Piksburgh	-79.9968	40.4389
0	Kaufmann's Clock at Macy's Downtown	-79.9987	40.4400
0	David L. Lawrence Convention Center	-79.9968	40.4455
0	525 William Penn Place	-79.9985	40.4412
0	Greyhound Station Pittsburgh	-79.9938	40.4444
0	Anthrocon 2015	-79.9954	40.4446
0	1 PPG Place Downtown Pittsburgh	-80.0029	40.4408
0	by Hilton Hotel & Suites Pittsburgh Downtown	-79.9961	40.4406
0	Studio 41 Entertainment	-80.0029	40.4414
0	2014	-79.9958	40.4449
0	The Steel City	-79.9932	40.4471
0	pixburg	-79.9948	40.4416
0	Handmade Arcade	-79.9974	40.4453
0	Just posted a photo	-80.0031	40.4409
0	Biergarten	-79.9955	40.4422
0	Three Rivers Art Festival Pittsburgh Pa	-80.0058	40.4424
0	Liangs Hunan Chinese Restaurant	-79.9963	40.4428
1	& Lube	-79.9583	40.4406
1	Phipps Conservatory and Botanical Gardens	-79.9520	40.4344
1	Petersen Events Center	-79.9621	40.4442
1	reunited	-79.9556	40.4362
1	India On Wheels	-79.9548	40.4448
1	61B	-79.9507	40.4404
1	That Bathroom Scene	-79.9551	40.4436
1	University of Pittsburgh	-79.9566	40.4419
1	Forbes Field Home Plate	-79.9560	40.4418
1	National Best Friend Day	-79.9626	40.4394
1	York Way	-79.9546	40.4381
1	The Porch at Schenley Plaza	-79.9525	40.4428
1	Pittsburgh Grand Prix	-79.9483	40.4481
1	The Weasley Burrow	-79.9584	40.4457
1	Earth	-79.9511	40.4526
1	Pizza Sola	-79.9579	40.4413
1	Hobos of Forbes Ave	-79.9520	40.4388
1	Meyran Ave	-79.9548	40.4375
1	Charles L. Cost Field at Pitt University of Pittsburgh	-79.9526	40.4446
1	University of Pittsburgh School of Medicine	-79.9608	40.4425
1	Cirque du Soleil	-79.9621	40.4442
1	Carnegie Mellon University of Pittsburgh	-79.9541	40.4437
1	Bates Motel	-79.9522	40.4389
1	University of Pittsburgh Graduate School of Public Health	-79.9590	40.4431
1	Some Place Far Away	-79.9477	40.4489
1	Peet's Coffee and Tea	-79.9576	40.4411
1	Carnegie Museum of Art and Natural History	-79.9498	40.4431
1	AT&T	-79.9561	40.4434
1	Pinstripe	-79.9613	40.4388
1	Pizza Paul's at Panther Hollow Inn	-79.9481	40.4446
1	Carnegie Library of Pittsburgh	-79.9488	40.4434
1	University of Pittsburgh	-79.9540	40.4429
1	Joe Mama's	-79.9569	40.4415
1	McDonald's at 3708 Forbes Ave	-79.9573	40.4413
1	Residence On Fifth	-79.9470	40.4471
1	doubetree orlando seaworld	-79.9592	40.4394
1	UPMC Forbes Tower	-79.9588	40.4398
1	Carnegie Museum of Art	-79.9488	40.4434
1	Cathedral of Learning Research and Development Center	-79.9531	40.4442
1	PNC Stadium	-79.9555	40.4423
1	India On Wheels	-79.9555	40.4452
1	University of Pittsburgh	-79.9538	40.4457
1	Cathedral Of Learning Nationality Rooms Tour	-79.9494	40.4491
1	Holland Hall at Pitt	-79.9560	40.4431
1	Pittsburgh Filmmakers	-79.9537	40.4548
