clid	venue	lon	lat	cat	user	year	doy	dow	hour	txt
0	Animal	-80.0038	40.4381	Office {4bf58dd8d48988d124941735}	Chad_calcagno	2015	308	3	22	I'm at Animal, Inc in Pittsburgh, PA
0	Sonoma Grille	-79.9963	40.4443	Wine Bar {4bf58dd8d48988d123941735}	ShelbyT20	2015	249	0	22	I'm at Sonoma Grille - in Pittsburgh, PA
0	Sonoma Grille	-79.9963	40.4443	Wine Bar {4bf58dd8d48988d123941735}	Andrew_Howell	2015	253	4	19	I'm at Sonoma Grille - in Pittsburgh, PA
0	Downtown Pittsburgh	-79.9972	40.4416	Library {4bf58dd8d48988d12f941735}	idreamoftravel	2014	38	5	18	I'm at Downtown Pittsburgh (Pittsburgh, PA)
0	Downtown Pittsburgh	-79.9972	40.4416	Library {4bf58dd8d48988d12f941735}	philsy28	2014	44	4	14	I'm at Downtown Pittsburgh (Pittsburgh, PA)
0	Downtown Pittsburgh	-79.9972	40.4416	Library {4bf58dd8d48988d12f941735}	DJTMI	2014	40	0	2	Just posted a photo Downtown Pittsburgh
0	Downtown Pittsburgh	-79.9972	40.4416	Library {4bf58dd8d48988d12f941735}	DJTMI	2014	40	0	2	Just posted a photo Downtown Pittsburgh
0	Downtown Pittsburgh	-79.9972	40.4416	Library {4bf58dd8d48988d12f941735}	DJTMI	2014	40	0	2	Just posted a photo Downtown Pittsburgh
0	Downtown Pittsburgh	-79.9972	40.4416	Library {4bf58dd8d48988d12f941735}	DJTMI	2014	40	0	20	Just posted a photo Downtown Pittsburgh
0	Downtown Pittsburgh	-79.9972	40.4416	Library {4bf58dd8d48988d12f941735}	DJTMI	2014	40	0	20	Just posted a photo Downtown Pittsburgh
0	Downtown Pittsburgh	-79.9972	40.4416	Library {4bf58dd8d48988d12f941735}	DJTMI	2014	40	0	21	Just posted a photo Downtown Pittsburgh
0	Downtown Pittsburgh	-79.9972	40.4416	Library {4bf58dd8d48988d12f941735}	DJTMI	2014	40	0	22	Just posted a photo Downtown Pittsburgh
0	Downtown Pittsburgh	-79.9972	40.4416	Library {4bf58dd8d48988d12f941735}	DJTMI	2014	43	3	20	Just posted a photo Downtown Pittsburgh
