cl		pos_%	neg_%	senti_avg	senti_std	senti_25%	senti_50%	senti_75%		
0	downtown	11.74	7.86	0.04	0.83	-0.14	-0.14	0.44		3.88
1	oakland	14.15	11.92	0.01	0.96	-0.14	-0.14	0.55		2.23
2	southside	15.31	10.98	0.05	0.94	-0.14	-0.14	0.58		4.33
3	console energy center	18.57	10.56	0.13	1.01	-0.14	-0.14	0.76		8.01
4	northside-pnc park	15.83	6.52	0.12	0.84	-0.14	-0.14	0.59		9.31
5	northside-heinz field	16.07	6.61	0.12	0.81	-0.14	-0.14	0.59		9.46
6	shadyside-east liberty	14.95	10.6	0.05	0.95	-0.14	-0.14	0.57		4.35
7	strip district	16.87	7	0.14	0.87	-0.14	-0.14	0.68		9.87
8	homewood	11.14	22.92	-0.28	1.1	-0.89	-0.14	0.05		-11.78
9	homestead-waterfront	14.91	12.93	0.01	0.98	-0.14	-0.14	0.63		1.98
10	pittsburgh tech center	14.59	11.65	0.02	0.98	-0.2	-0.14	0.55		2.94
11	cmu	15.48	9.15	0.09	0.92	-0.14	-0.14	0.59		6.33
12	southside-brownsville & allington	11.9	21.34	-0.25	1.09	-0.66	-0.14	-0.14		-9.44
13	overbrook	16.93	15.18	0	1.11	-0.14	-0.14	0.59		1.75
14	station square	18.66	10.27	0.1	0.97	-0.14	-0.14	0.7		8.39
15	point state	1.67	0.33	-0.21	0.35	-0.47	-0.13	-0.13		1.34
16	beechview	20.1	16.2	0.01	1.19	-0.14	-0.14	0.68		3.9
17	upper st clair township-mount lebanon	16.19	16.35	-0.06	1.1	-0.33	-0.14	0.61		-0.16
18	terrace village	18.1	6.39	0.18	0.84	-0.14	-0.14	0.73		11.71
19	lawrenceville-liberty & bloomfield	15.61	12	0.07	1	-0.14	-0.14	0.62		3.61
20	shaler township	12.52	10.71	0.02	0.91	-0.21	-0.14	0.47		1.81
21	perry north-ross township	18.49	14.86	0	1.21	-0.14	-0.14	0.57		3.63
22	shadyside-walnut	17.36	7.2	0.18	0.9	-0.14	-0.14	0.74		10.16
23	perry north	15.8	19.43	-0.14	1.21	-0.48	-0.14	0.43		-3.63
24	carnegie borough	19.41	9.07	0.21	0.97	-0.14	-0.14	0.81		10.34
25	foresthills borough	17.46	15.96	0.01	1.08	-0.22	-0.14	0.71		1.5
26	homestead	11.2	12.56	-0.06	0.9	-0.44	-0.14	0.48		-1.36
27	middle hill	11.13	20.28	-0.22	1.05	-0.79	-0.14	0.24		-9.15
28	hazelwood	13.5	12.5	-0.03	0.98	-0.14	-0.14	0.45		1
29	carrick	13.82	17.07	-0.15	1.11	-0.14	-0.14	-0.01		-3.25
30	highland park	13.71	17.52	-0.12	1.06	-0.49	-0.14	0.46		-3.81
31	perry south	12.52	19.17	-0.17	1.03	-0.62	-0.14	0.33		-6.65
